,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
47,47.0,0.3677,0.3254,0.1578,0.0,0.0,0.0,0.3911,0.3254,0.1282,0.0,0.0,0.0,0.5411,0.2485,0.0,0.0,0.0,0.0,0.3677,0.2941,0.1795,0.0169,0.0,0.0
48,48.0,0.3903,0.3011,0.1503,0.009,0.0,0.0,0.4144,0.3209,0.1027,0.0,0.0,0.0,0.5635,0.2177,0.0,0.0,0.0,0.0,0.3781,0.2741,0.1883,0.009,0.009,0.0
49,49.0,0.379,0.3113,0.1529,0.0087,0.0,0.0,0.4026,0.3177,0.1226,0.0,0.0,0.0,0.5484,0.2387,0.0,0.0,0.0,0.0,0.3731,0.2855,0.1967,0.0,0.0,0.0
50,50.0,0.4083,0.2835,0.1554,0.0,0.0,0.0,0.3914,0.3023,0.1409,0.0084,0.0084,0.0,0.5488,0.2382,0.0,0.0,0.0,0.0,0.3684,0.2961,0.1907,0.0,0.0,0.0
51,51.0,0.369,0.3102,0.174,0.0,0.0,0.0,0.3972,0.298,0.153,0.0,0.0,0.0,0.5321,0.2605,0.0,0.0,0.0,0.0,0.3575,0.298,0.2014,0.0,0.0,0.0
52,52.0,0.3677,0.313,0.1723,0.0,0.0,0.0,0.3795,0.313,0.1431,0.0085,0.0085,0.0,0.5261,0.2683,0.0,0.0,0.0,0.0,0.3438,0.313,0.1866,0.0169,0.0,0.0
53,53.0,0.369,0.298,0.1809,0.0082,0.0,0.0,0.3747,0.3102,0.153,0.0082,0.0082,0.0,0.5369,0.2541,0.0,0.0,0.0,0.0,0.3633,0.2731,0.2148,0.0082,0.0,0.0
54,54.0,0.3818,0.2877,0.1616,0.026,0.0,0.0,0.3937,0.3452,0.1001,0.0,0.0,0.0,0.5521,0.2336,0.0,0.0,0.0,0.0,0.3878,0.2877,0.1765,0.0,0.0,0.0
55,55.0,0.3498,0.3004,0.1723,0.0418,0.0,0.0,0.3969,0.3498,0.0899,0.0,0.0,0.0,0.551,0.235,0.0,0.0,0.0,0.0,0.3853,0.2813,0.1866,0.0,0.0,0.0
56,56.0,0.3742,0.2835,0.1481,0.0572,0.0,0.0,0.4083,0.3268,0.0884,0.0084,0.0084,0.0,0.5584,0.2248,0.0,0.0,0.0,0.0,0.3857,0.2961,0.1696,0.0,0.0,0.0
57,57.0,0.3535,0.2837,0.1756,0.0545,0.0,0.0,0.4081,0.3365,0.0917,0.0,0.0,0.0,0.5423,0.2469,0.0,0.0,0.0,0.0,0.3812,0.2957,0.1756,0.0,0.0,0.0
58,58.0,0.3653,0.2916,0.1664,0.0386,0.0,0.0,0.3923,0.3488,0.0903,0.0078,0.0,0.0,0.554,0.231,0.0,0.0,0.0,0.0,0.3923,0.2798,0.1797,0.0,0.0,0.0
59,59.0,0.3702,0.2654,0.1756,0.0545,0.0,0.0,0.3974,0.3422,0.0843,0.008,0.008,0.0,0.5562,0.2279,0.0,0.0,0.0,0.0,0.4028,0.2897,0.1484,0.008,0.0,0.0
